#len	C	JS	Java	PHP	perl
#0	-	44443	-	-	-
1	296136	850924	94239	91759	86508 
2	240919	390954	41798 	86297  	78089 
3	466922	117097	67580 	173933 	108233
4	307697	152646	100572	1305365	55774 
5	242012	125014	95973 	252025 	32980 
6	180140	125243	116001	345342 	37998 
7	129060	97361	91701 	272558 	15253 
8	91754	90232	110013	191491 	4292  
9	66895	69182	62850 	120536 	8155  
10	45617	55799	56015 	115666 	5003  
11	34233	44389	47047 	84296  	2093  
12	29065	38224	37531 	59712  	1738  
13	17076	27221	32753 	50463  	1474  
14	13705	22636	26581 	39491  	1683  
15	10206	18156	20545 	27046  	1074  
16	6877	14603	15902 	24283  	1013  
17	5593	9969 	12419 	13895  	713   
18	3778	8154 	8823  	15071  	318   
19	3093	6506 	7439  	9290   	582   
20	2396	4797 	5856  	7501   	245   
21	1784	4050 	4150  	5116   	149   
22	1861	2698 	3130  	3250   	262   
23	1230	2064 	2264  	2551   	163   
24	899	1861 	1800  	1829   	102   
25	873	1400 	1319  	1712   	118   
26	948	1225 	946   	2708   	51    
27	458	728  	795   	1179   	57    
28	484	538  	534   	852    	33    
29	330	426  	415   	423    	18    
30	289	296  	276   	621    	54    
31	241	257  	271   	330    	41    
32	186	221  	205   	273    	27    
33	149	175  	159   	203    	20    
34	110	115  	101   	148    	40    
35	116	111  	85    	92     	26    
36	72	106  	79    	54     	42    
37	84	55   	41    	123    	51    
38	63	49   	40    	49     	20    
39	40	70   	23    	41     	68    
40	30	52   	19    	28     	24    
41	39	61   	20    	44     	7     
42	29	74   	18    	34     	8     
43	21	28   	10    	15     	24    
44	8	33   	16    	6      	10    
45	22	64   	19    	13     	6     
46	9	64   	2     	14     	5     
47	6	37   	4     	28     	2     
48	13	63   	3     	2      	2     
49	1	31   	5     	20     	2     
50	4	40   	2     	3      	8     
51	2	38   	1     	2      	5     
52	4	55   	3     	7      	-
53	3	41   	1     	-      	3
54	-	92	-	-     	-
55	-	37	-	-	5
56	-	27	-	-	2
57	-	35	1	-	3
58	-	36	1	-	3
59	-	16	-	-	1
60	-	23	1	-	-
61	-	25	2	-	1
62	-	22	1	-	2
63	-	22	-	-	1
64	-	23	-	-	-
65	-	14	-	-	1
66	-	43	-	-	-
67	-	8	-	-	1
68	-	18	-	-	-
69	-	6	-	-	1
70	-	19	-	-	-
71	-	6	-	39	1
72	-	5	-	-	-
73	-	3	-	-	1
74	-	3	-	-	1
75	-	4	-	-	-
76	-	13	-	-	5
77	-	15	-	-	-
78	-	13	-	-	-
80	-	2	-	-	-
82	-	2	-	-	-
83	-	2	-	-	-
84	-	3	-	-	1
85	-	1	-	-	-
86	-	2	-	-	-
87	-	-	-	-	1
88	-	3	-	-	-
89	-	2	-	-	-
90	-	1	-	-	1
92	-	2	-	-	-
100	-	-	-	-	1
105	-	2	-	-	-
112	-	-	-	-	1
114	-	-	1	-	-
115	-	-	1	-	-
117	-	-	-	-	1
135	-	2	-	-	-
